epoch,train_loss,eval_loss,eval_top1,eval_top5
0,6.6925601434702875,5.73673,4.39,13.712
1,6.303461410792298,4.73437,13.468,31.968
2,5.939644284009671,3.88607125,23.372,47.396
3,5.624215103836967,3.31204125,32.796,59.148
4,5.3800033731219505,2.96584875,38.596,65.064
5,5.184054309379234,2.71679625,43.638,69.786
6,5.042313967304685,2.517845,47.084,72.974
7,4.940830452409535,2.59406375,48.5,74.538
8,4.870524802257017,2.310115625,51.234,76.922
9,4.794536013407407,2.216751875,53.002,78.27
10,4.750650538206219,2.20724,53.176,78.59
11,4.7086098487828085,2.185674375,54.88,79.964
12,4.678568053953011,2.071010625,55.212,80.558
13,4.662695185384713,2.114828125,55.58,80.514
14,4.650097095641191,2.058261875,56.114,81.198
15,4.640274929111803,2.070228125,56.838,81.426
16,4.622578805090129,2.050310625,56.218,81.182
17,4.610421622212753,2.1450675,55.956,80.938
18,4.620346848287476,2.076225,56.116,81.238
19,4.621956924611317,2.01762,56.158,81.13
20,4.594079809406085,1.99773125,56.438,81.336
21,4.57297348737931,1.997995,57.642,81.922
22,4.554306335722677,2.025106875,57.404,82.112
23,4.561055212328633,2.014236875,57.944,82.34
24,4.554679226024916,2.09992125,58.188,82.544
25,4.533680770932907,1.988593125,58.19,82.556
26,4.52020114970524,1.939815,58.506,83.018
27,4.511802000770298,1.9476625,58.558,82.93
28,4.493893357301785,1.90141875,58.668,83.216
29,4.500044457073252,1.96338,59.332,83.428
30,4.482601135567192,2.014823125,58.742,82.912
31,4.481821515984392,1.9290725,59.302,83.33
32,4.481071516712153,1.89265875,60.036,83.92
33,4.474399036908081,1.95897,59.608,83.538
34,4.4727361984026155,1.95428875,59.278,83.278
35,4.4685644840953564,1.91081375,59.628,83.626
36,4.4662078376868735,1.934261875,59.384,83.418
37,4.4608662188237735,1.945413125,59.304,83.384
38,4.443868711309388,2.014795,59.472,83.742
39,4.444988996621219,1.87849125,60.384,84.342
40,4.44059347410828,1.851496875,59.704,83.806
41,4.432622769005423,1.862305625,61.032,84.512
42,4.426470140010664,1.970090625,59.98,84.174
43,4.426499424500951,2.021725625,60.076,83.854
44,4.431164634752993,1.911498125,60.36,84.194
45,4.414490011500864,1.919468125,60.522,84.416
46,4.417138021158308,1.92152125,60.554,84.32
47,4.409969890923967,1.868800625,60.276,84.166
48,4.413122631974934,1.884810625,60.682,84.31
49,4.407592014757138,1.908058125,60.774,84.558
50,4.399190250935642,1.82805,61.086,84.89
51,4.398250103187389,1.848795,61.326,84.994
52,4.398432884674613,1.975653125,60.216,84.218
53,4.399845552868461,1.926884375,60.764,84.416
54,4.392085980006491,1.832029375,60.638,84.658
55,4.390812648689726,1.808370625,60.646,84.698
56,4.3951439699315324,1.756660625,61.69,84.922
57,4.373851956800929,1.826605625,60.614,84.422
58,4.3780311247318435,1.877708125,61.284,84.798
59,4.372849577706419,1.83305375,60.954,84.742
60,4.374739837522618,1.856236875,61.126,84.928
61,4.373186069526257,1.806385625,61.648,85.146
62,4.365273200735511,1.78572375,61.98,85.268
63,4.363730392990585,1.794738125,61.554,85.126
64,4.362401641943271,1.80184125,62.126,85.208
65,4.346271848973962,1.85546875,62.27,85.526
66,4.364358170952684,1.766744375,62.556,85.568
67,4.35223799464538,1.745293125,62.268,85.342
