epoch,train_loss,eval_loss,eval_top1,eval_top5
0,6.719593233704412,5.85493125,4.116,12.882
1,6.299277810691203,4.79938375,14.046,32.678
2,5.917241136181401,3.94600125,24.5,48.658
3,5.600192862846168,3.41043375,32.302,58.356
4,5.362375085295968,2.92630375,40.126,66.712
5,5.172006315851036,2.7348475,43.064,69.728
6,5.040756895416135,2.51061,47.86,73.724
7,4.952750150468255,2.451075,48.512,74.734
8,4.874303904217147,2.341751875,50.562,76.588
9,4.800312577838461,2.36107625,50.91,77.058
10,4.761039634341185,2.272194375,52.584,78.258
11,4.717222540061044,2.28027375,53.01,78.728
12,4.685408075797426,2.033685625,58.03,82.076
13,4.6735973774058825,1.98489,57.84,82.292
14,4.638144380360981,2.128058125,55.05,80.582
15,4.619590562735062,2.238221875,54.38,79.708
16,4.613120640463995,2.283160625,53.764,79.64
17,4.612134494008759,2.289689375,54.184,79.8
18,4.60906112747886,2.173794375,54.21,80.158
19,4.608140324031286,1.883933125,59.744,83.42
20,4.585002795670199,2.1047525,54.734,80.052
21,4.550097874821406,2.075091875,57.852,82.71
22,4.57717433641788,2.055121875,55.624,80.99
23,4.530391803332315,2.060939375,56.11,81.214
24,4.514725970297691,2.0518875,56.32,81.19
25,4.517429993814588,2.0400875,56.832,81.986
26,4.490988229106911,2.1404275,53.712,79.656
27,4.517236901920794,1.790776875,61.916,85.174
28,4.492896851441376,2.08487125,57.458,82.348
29,4.456624177776859,1.758004375,61.42,84.948
30,4.474806840108436,1.832726875,61.404,84.92
31,4.432546230972272,1.887205625,60.082,84.238
32,4.474837794433953,2.087718125,56.048,81.49
33,4.46910386219381,1.967989375,58.484,83.016
34,4.423876446102606,2.231918125,53.864,79.628
35,4.443138808181729,2.217595625,53.856,79.852
36,4.45049837386171,2.058979375,56.262,81.468
37,4.430978912992284,2.004371875,57.868,82.672
38,4.425709256974357,1.813438125,62.634,85.76
39,4.422840709583375,1.775421875,62.878,86.136
40,4.396937768006017,1.859221875,61.194,85.05
41,4.438731093830205,1.7323025,63.178,86.066
42,4.4117311440405995,1.829108125,62.816,85.934
43,4.413185105384295,1.942660625,58.878,83.412
44,4.405766949475925,1.950209375,59.108,83.818
45,4.3747069048159775,1.85636875,61.516,85.16
46,4.424343748971149,1.932358125,59.572,84.11
47,4.39997135229146,1.8513575,63.064,85.722
48,4.374111345495803,1.91610625,58.966,83.228
49,4.351540636975802,1.95075125,60.97,84.746
50,4.4055504265073555,1.950905,59.032,83.5
51,4.35428803761959,1.84831,61.65,85.018
52,4.399243190650853,1.964705625,59.682,83.756
53,4.375903631950285,1.94751,60.104,84.156
54,4.371951679212014,1.9548825,59.56,84.05
55,4.347686667460902,1.6918775,63.602,86.534
56,4.37030420049419,1.83245375,61.37,85.01
57,4.347302174494333,1.698693125,64.476,86.722
58,4.350556718754071,1.921979375,59.964,84.036
59,4.332827799040808,1.907278125,62.324,85.47
60,4.374166685975816,2.031416875,60.198,83.95
61,4.341611961585228,1.78405875,61.89,85.04
62,4.3386802676198295,1.7998225,61.302,85.096
63,4.331069033752611,1.93030875,59.85,84.26
64,4.33543403956878,1.813840625,60.906,84.76
65,4.320178873877936,1.87427375,59.726,84.058
66,4.331428573233751,1.9301675,60.522,84.348
67,4.303146471592773,1.777186875,63.586,86.428
68,4.322682378270407,1.645751875,64.784,87.224
69,4.3220564998438435,1.950943125,58.304,83.132
70,4.315350639985651,1.9397075,58.424,83.346
71,4.318310628035934,1.78400625,61.01,84.922
72,4.307726981864012,1.78414,61.748,85.616
73,4.291295776072767,1.93007375,60.082,84.344
74,4.299846718487343,1.6933375,65.476,87.408
75,4.311925296386122,1.65692625,64.57,87.188
76,4.272546321960557,1.947760625,58.116,82.644
77,4.299428864808835,1.845876875,59.986,84.264
78,4.299148873166136,1.89491875,61.478,85.202
79,4.272330615103382,1.871755625,61.428,84.944
80,4.269222698079228,1.829163125,60.696,84.514
81,4.287395569337023,1.62635125,65.824,87.572
82,4.278756868709443,1.850085,62.218,85.618
83,4.262388467526672,1.853619375,61.218,85.14
84,4.2828933407774645,1.8072225,61.914,85.332
85,4.262691835862128,1.737790625,62.816,85.882
86,4.266803240464014,1.687619375,65.61,87.634
87,4.253421244129147,1.782730625,62.11,85.62
88,4.270867859689562,1.6717325,62.838,86.042
