epoch,train_loss,eval_loss,eval_top1,eval_top5
0,6.694676143971341,5.73986,4.476,13.882
1,6.309379233526938,4.7522875,13.102,31.514
2,5.951218112292305,3.924295,23.05,46.708
3,5.644448591238588,3.34535625,32.75,58.728
4,5.40849856723378,2.96805625,38.562,64.682
5,5.219080977916765,2.69777125,43.622,69.74
6,5.081537585311366,2.554863125,46.688,72.77
7,4.983557631221729,2.57228875,48.27,74.452
8,4.912334321512067,2.37718875,50.044,75.968
9,4.835691973360069,2.26430375,52.17,77.682
10,4.789866967400848,2.253575625,52.576,78.092
11,4.748293063347365,2.20669375,53.866,78.864
12,4.717224212611802,2.060801875,55.142,79.898
13,4.700869679129413,2.148668125,54.816,80.144
14,4.688813950515482,2.057919375,55.108,80.126
15,4.677931550785621,2.13925625,56.158,80.512
16,4.659284444107306,2.04087125,55.796,80.742
17,4.643491219540483,2.175616875,54.968,79.982
18,4.654029162021317,2.0761425,55.78,80.82
19,4.651693665144005,2.063495,56.038,80.87
20,4.6271005401674214,2.025935,55.966,80.732
21,4.604928183786661,2.057514375,56.386,81.24
22,4.586163418361364,2.047598125,57.124,81.988
23,4.593737994961144,1.998268125,57.372,82.04
24,4.584680548318319,2.058425625,57.838,82.382
25,4.566699929737118,2.03317375,56.958,81.798
26,4.553001561642693,1.992958125,58.114,82.658
27,4.545035367341222,1.933264375,58.718,83.192
28,4.5257621610637475,1.898860625,58.348,82.85
29,4.531513060874569,1.962628125,58.56,83.032
30,4.513094614931058,1.9662175,58.52,82.916
31,4.5128889145795394,1.936665625,58.744,82.954
32,4.512557290128948,1.9919275,58.46,82.988
33,4.506020214498335,1.99233125,59.272,83.22
34,4.503500034144761,1.98372375,58.366,82.71
35,4.499406367322998,1.935128125,58.628,83.14
36,4.498331387734506,2.00578375,58.348,82.788
37,4.493517853994805,1.930170625,58.952,83.45
38,4.474473174700479,2.044338125,58.924,83.314
39,4.476953832618911,1.914985,59.902,83.856
40,4.471734478347654,1.90337375,59.006,83.324
41,4.465216067016202,1.944015,59.752,83.926
42,4.458702654137765,1.973259375,60.126,84.056
43,4.457978931170313,1.9943225,59.524,83.674
44,4.463606028257163,1.9773075,59.268,83.576
45,4.447248547855392,1.952621875,59.804,84.074
46,4.450206561907508,1.946044375,59.466,83.822
47,4.442154137854072,1.855218125,59.656,84.138
48,4.44619414534575,1.93597875,60.332,84.182
49,4.440918490321906,1.887476875,60.076,84.056
50,4.432101738632755,1.897683125,60.388,84.23
51,4.4315890334967145,1.893698125,60.132,84.004
52,4.430462185421098,1.92628625,60.63,84.49
53,4.433460831272934,1.926528125,59.882,83.92
54,4.423486126613779,1.8906675,60.35,84.24
55,4.424073866071348,1.86824625,60.312,84.292
56,4.428716833649345,1.83578125,60.47,84.236
