epoch,train_loss,eval_loss,eval_top1,eval_top5
0,6.694962219730316,5.7431475,4.438,13.83
1,6.3099837562804195,4.75010375,13.14,31.548
2,5.952413823795386,3.91538,23.224,46.994
3,5.650358988243283,3.33672875,32.788,58.744
4,5.427521454179093,3.02439875,37.59,63.7
5,5.252424944934698,2.7843475,42.242,68.422
6,5.1220254577448445,2.6095775,45.64,71.646
7,5.030168774149637,2.62672875,47.648,73.728
8,4.967008209619171,2.412181875,49.594,75.408
9,4.894641827555586,2.2765825,51.482,77.168
10,4.852778224633497,2.326419375,51.95,77.51
11,4.816120391173587,2.29102875,52.772,78.214
12,4.789597373156891,2.151394375,53.838,79.208
13,4.77453926469744,2.206826875,53.838,79.182
14,4.766445781720341,2.151660625,54.324,79.548
15,4.756001148229593,2.222068125,54.602,79.522
16,4.737226034189773,2.09896375,55.114,79.828
17,4.722084528297701,2.274465,54.142,79.522
18,4.7300306415090985,2.19650375,54.316,79.75
19,4.727528905068164,2.131795625,54.374,79.99
20,4.700457391639799,2.08050625,54.934,79.96
21,4.681078657973884,2.106421875,55.068,79.93
22,4.6617649714183775,2.129434375,56.284,81.03
23,4.6682342675697175,2.09386,56.434,81.244
