epoch,train_loss,eval_loss,eval_top1,eval_top5
0,6.724438637521839,5.91684625,3.606,11.534
1,6.309206249402089,4.80585875,13.74,32.784
2,5.9271130670926135,3.980285,24.106,48.172
3,5.609058289037669,3.39537875,32.438,58.56
4,5.370813195409326,2.9379325,39.96,66.438
5,5.182208145828392,2.7826225,42.104,69.164
6,5.06902307451206,2.583361875,46.504,73.032
7,4.959671050593002,2.472131875,48.216,74.578
8,4.8997843343426215,2.218783125,53.194,78.412
9,4.825514165060969,2.331288125,51.514,77.292
10,4.7837318062532175,2.269989375,52.078,77.846
11,4.7342837597418885,2.118801875,56.896,81.278
12,4.710671343423709,2.24306375,53.264,78.67
13,4.680211108718698,2.216324375,53.072,79.354
14,4.670273673940532,2.084589375,56.364,80.814
15,4.646406309530087,2.060006875,57.236,81.868
16,4.6240115929869505,2.25874,54.734,79.884
17,4.6405404649279625,2.21835625,54.69,80.19
18,4.614787906732863,1.981756875,58.596,82.96
19,4.634220576236293,2.159245,54.472,79.884
20,4.602159997158944,2.1107625,54.574,80.078
21,4.578180594286584,2.21009875,53.54,79.602
22,4.581229551603821,2.07996,55.202,80.58
23,4.536266592525795,2.11215125,53.852,79.612
24,4.519589647282991,2.00368875,58.46,82.694
25,4.527942598610447,1.986800625,58.766,83.19
26,4.535968757840538,2.09875,54.676,80.15
27,4.503529694187783,2.198659375,52.946,79.27
28,4.521427132721511,2.067291875,56.906,82.046
29,4.488824086966292,1.9994,57.022,81.758
30,4.477654305832621,1.97450125,58.16,82.984
31,4.461185346081821,2.03923875,56.658,81.582
32,4.45411655773994,1.91689125,60.728,84.528
33,4.498376673567794,1.93325875,58.644,83.3
34,4.451114497850296,1.819534375,62.674,85.57
35,4.456747667333775,1.809870625,62.412,85.568
36,4.416692403065764,1.90795,59.604,83.822
37,4.462525982637127,1.937510625,58.078,82.636
38,4.437076440330556,2.0851775,57.206,82.194
39,4.4405455109789385,1.785685,63.034,85.762
40,4.427615081505266,1.812569375,61.45,84.94
41,4.426415810445435,1.955551875,58.494,83.156
42,4.41264239142665,1.845308125,61.916,85.27
43,4.435097171276739,1.927391875,59.278,83.556
44,4.41501832415691,1.906295625,59.546,83.998
45,4.4106186032950285,1.797283125,63.122,86.058
